仮想キーコード

以下の表は、ウィンドウの仮想キーコードの一覧です。
定数名	値（16進数）	意味
VK_LBUTTON	01	マウス左ボタン
VK_RBUTTON	02	マウス右ボタン
VK_CANCEL	03	[Cancel]
VK_MBUTTON	04	マウス中央ボタン
VK_XBUTTON1	05	Windows 2000/XP： マウス X1 ボタン
VK_XBUTTON2	06	Windows 2000/XP： マウス X2 ボタン
-	07	未定義
VK_BACK	08	[Back space]
VK_TAB	09	[Tab]
-	0A ～ 0B	予約
VK_CLEAR	0C	[Clear]
VK_RETURN	0D	[Enter]
-	0E ～ 0F	未定義
VK_SHIFT	10	[Shift]
VK_CONTROL	11	[Ctrl]
VK_MENU	12	[Alt]
VK_PAUSE	13	[Pause]
VK_CAPITAL	14	[Caps Lock]
VK_KANA	15	IME カナモード
VK_HANGUEL, VK_HANGUL	15	IME ハングルモード
-	16	未定義
VK_JUNJA	17	
VK_FINAL	18	
VK_HANJA	19	
VK_KANJI	19	IME 漢字モード
-	1A	未定義
VK_ESCAPE	1B	[Esc]
VK_CONVERT	1C	IME 変換
VK_NONCONVERT	1D	IME 無変換
VK_ACCEPT	1E	
VK_MODECHANGE	1F	IME モード変更
VK_SPACE	20	スペースキー
VK_PRIOR	21	[Page Up]
VK_NEXT	22	[Page Down]
VK_END	23	[End]
VK_HOME	24	[Home]
VK_LEFT	25	[←]
VK_UP	26	[↑]
VK_RIGHT	27	[→]
VK_DOWN	28	[↓]
VK_SELECT	29	[Select]
VK_PRINT	2A	[Print]
VK_EXECUTE	2B	[Execute]
VK_SNAPSHOT	2C	[Print Screen]
VK_INSERT	2D	[Insert]
VK_DELETE	2E	[Delete]
VK_HELP	2F	[Help]
（ASCII コード '0' ～ '9' と同じ）	30 ～ 39	[0] ～ [9]
	3A ～ 40	未定義
（ASCII コード 'A' ～ 'Z' と同じ）	41 ～ 5A	[A] ～ [Z]
VK_LWIN	5B	左の Windows キー
VK_RWIN	5C	右の Windows キー
VK_APPS	5D	アプリケーションキー
-	5E	予約
VK_SLEEP	5F	コンピュータスリープキー
VK_NUMPAD0 ～ VK_NUMPAD9	60 ～ 69	テンキーの [0] ～ [9]
VK_MULTIPLY	6A	テンキーの [ * ]
VK_ADD	6B	テンキーの [ + ]
VK_SEPARATOR	6C	テンキーの [Enter]
VK_SUBTRACT	6D	テンキーの [ - ]
VK_DECIMAL	6E	テンキーの [ . ]
VK_DIVIDE	6F	テンキーの [ / ]
VK_F1	70	[F1]
VK_F2	71	[F2]
VK_F3	72	[F3]
VK_F4	73	[F4]
VK_F5	74	[F5]
VK_F6	75	[F6]
VK_F7	76	[F7]
VK_F8	77	[F8]
VK_F9	78	[F9]
VK_F10	79	[F10]
VK_F11	7A	[F11]
VK_F12	7B	[F12]
VK_F13	7C	[F13]
VK_F14	7D	[F14]
VK_F15	7E	[F15]
VK_F16	7F	[F16]
VK_F17	80	[F17]
VK_F18	81	[F18]
VK_F19	82	[F19]
VK_F20	83	[F20]
VK_F21	84	[F21]
VK_F22	85	[F22]
VK_F23	86	[F23]
